# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "gene" "-a" "../data/reference_sequences/oligos_cds.gff" "-o" "../data/rna_align/counttable_tRNAs.txt" "../data/rna_align/01_no_PNA.bam" "../data/rna_align/02_PNA15_5000pM.bam" "../data/rna_align/03_PNA15_500pM.bam" "../data/rna_align/04_PNA15_100pM.bam" "../data/rna_align/05_PNA15_10pM.bam" "../data/rna_align/06_PNA14_5000pM.bam" "../data/rna_align/07_no_PNA.bam" "../data/rna_align/08_PNA15_5000pM.bam" "../data/rna_align/09_PNA15_500pM.bam" "../data/rna_align/10_PNA15_100pM.bam" "../data/rna_align/11_PNA15_10pM.bam" "../data/rna_align/12_PNA14_5000pM.bam" "../data/rna_align/13_no_PNA.bam" "../data/rna_align/14_PNA15_5000pM.bam" "../data/rna_align/15_PNA15_500pM.bam" "../data/rna_align/16_PNA15_100pM.bam" "../data/rna_align/17_PNA15_10pM.bam" "../data/rna_align/18_PNA14_5000pM.bam" "../data/rna_align/73_RNA_input_control.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/01_no_PNA.bam	../data/rna_align/02_PNA15_5000pM.bam	../data/rna_align/03_PNA15_500pM.bam	../data/rna_align/04_PNA15_100pM.bam	../data/rna_align/05_PNA15_10pM.bam	../data/rna_align/06_PNA14_5000pM.bam	../data/rna_align/07_no_PNA.bam	../data/rna_align/08_PNA15_5000pM.bam	../data/rna_align/09_PNA15_500pM.bam	../data/rna_align/10_PNA15_100pM.bam	../data/rna_align/11_PNA15_10pM.bam	../data/rna_align/12_PNA14_5000pM.bam	../data/rna_align/13_no_PNA.bam	../data/rna_align/14_PNA15_5000pM.bam	../data/rna_align/15_PNA15_500pM.bam	../data/rna_align/16_PNA15_100pM.bam	../data/rna_align/17_PNA15_10pM.bam	../data/rna_align/18_PNA14_5000pM.bam	../data/rna_align/73_RNA_input_control.bam
glyW	NC_000913.3:1992041-1992117	1	76	-	76	529	904	981	837	1059	993	538	307	399	260	345	390	486	668	668	841	1096	942	0
serU	NC_000913.3:2043467-2043557	1	90	-	90	6224	8072	9975	7321	8596	7491	6429	5105	4728	4162	4811	5602	6638	7466	6787	10251	9734	10963	1
asnT	NC_000913.3:2044548-2044624	1	76	+	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
asnW	NC_000913.3:2058026-2058102	1	76	-	76	418	685	780	716	744	798	543	463	471	452	448	520	612	608	667	763	842	944	0
asnU	NC_000913.3:2059850-2059926	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asnV	NC_000913.3:2062259-2062335	1	76	+	76	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	2	2	1	0
proL	NC_000913.3:2286210-2286287	1	77	+	77	12055	16143	14549	14519	14603	16644	13993	8287	10022	7091	8790	8863	10236	13118	14495	16385	20009	19361	1
argW	NC_000913.3:2466308-2466383	1	75	+	75	5818	7194	10304	6575	8315	7093	5935	5257	5282	5081	5055	5256	7974	6928	6562	9425	9764	12198	3
pawZ	NC_000913.3:2476583-2476598	1	15	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alaX	NC_000913.3:2518040-2518116	1	76	-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alaW	NC_000913.3:2518155-2518231	1	76	-	76	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
valU	NC_000913.3:2520930-2521006	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valX	NC_000913.3:2521050-2521126	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valY	NC_000913.3:2521172-2521248	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysV	NC_000913.3:2521252-2521328	1	76	+	76	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
gltW	NC_000913.3:2729368-2729444	1	76	-	76	1	1	2	1	4	1	4	7	0	3	3	3	3	1	5	5	4	5	0
ileY	NC_000913.3:2785761-2785837	1	76	-	76	1039	2831	1669	3219	2200	3286	2051	937	1571	879	1355	1403	1392	1820	2727	2216	3866	3477	0
argQ	NC_000913.3:2817783-2817860	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argZ	NC_000913.3:2818058-2818135	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argY	NC_000913.3:2818197-2818274	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argV	NC_000913.3:2818472-2818549	1	77	-	77	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
serV	NC_000913.3:2818552-2818645	1	93	-	93	34039	46793	45900	45986	47335	63101	47419	32725	36762	24727	31523	39002	44247	50918	56100	57994	59829	62163	6
metZ	NC_000913.3:2947386-2947463	1	77	+	77	5	7	3	6	4	8	4	2	8	3	1	3	5	6	1	7	11	10	0
metW	NC_000913.3:2947496-2947573	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metV	NC_000913.3:2947606-2947683	1	77	+	77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyU	NC_000913.3:2998983-2999057	1	74	-	74	21292	31219	34347	30390	36392	32001	30442	21874	24795	21014	23190	26720	26146	29545	31705	37828	37377	39813	5
pheV	NC_000913.3:3110365-3110441	1	76	+	76	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	2	0	0
ileX	NC_000913.3:3215597-3215673	1	76	+	76	178	350	208	390	238	276	254	139	192	95	159	126	145	205	313	315	373	330	0
metY	NC_000913.3:3318212-3318289	1	77	-	77	117	104	108	87	106	89	134	72	91	63	127	87	114	127	118	147	120	124	0
leuU	NC_000913.3:3322071-3322158	1	87	-	87	53227	97071	85621	94564	91497	95636	81719	51035	65490	48646	54665	60836	75849	89342	98115	104508	133149	114524	19
thrV	NC_000913.3:3423579-3423655	1	76	-	76	8081	18842	13032	20061	14646	21314	16468	9239	12127	7892	11108	12211	12817	16964	18330	15982	26271	20392	1
alaU	NC_000913.3:3426957-3427033	1	76	-	76	62	86	128	67	122	57	64	44	45	29	44	33	46	43	36	64	55	57	0
ileU	NC_000913.3:3427075-3427152	1	77	-	77	2	4	2	1	2	0	2	1	0	0	2	3	3	5	6	2	6	3	0
proK	NC_000913.3:3708615-3708692	1	77	-	77	25763	32540	33505	31469	30123	28554	33048	17891	23316	17336	24852	21866	24790	28621	32302	35000	44657	38300	0
selC	NC_000913.3:3836221-3836316	1	95	+	95	3356	4454	3774	4862	5085	4676	4745	2601	3180	2559	3423	3734	3793	4773	5086	5762	6965	8275	0
gltU	NC_000913.3:3943434-3943510	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspT	NC_000913.3:3946871-3946948	1	77	+	77	341	512	541	443	484	387	563	311	394	290	318	404	437	476	531	643	673	591	0
trpT	NC_000913.3:3946956-3947032	1	76	+	76	20253	27794	21554	23686	22756	21422	19858	11288	12998	9035	13366	13942	13392	17574	17696	21864	30051	24768	7
argX	NC_000913.3:3982374-3982451	1	77	+	77	4426	7679	7292	6512	6770	7109	6851	5544	5992	4382	5213	4954	6281	6916	6754	7905	9649	9428	3
hisR	NC_000913.3:3982508-3982585	1	77	+	77	58615	82561	88125	77320	74855	73698	73182	49550	56881	46203	48079	53214	53140	61062	64120	82493	93381	76194	7
leuT	NC_000913.3:3982605-3982692	1	87	+	87	13	11	17	9	20	12	13	5	13	9	13	9	10	14	19	27	24	27	0
proM	NC_000913.3:3982734-3982811	1	77	+	77	152403	151107	230839	135877	185534	140299	150157	149393	132224	142898	127269	144189	172813	163876	144530	242820	178973	217241	16
ileT	NC_000913.3:4037140-4037217	1	77	+	77	6	7	4	1	14	8	3	6	2	4	4	4	4	5	4	7	4	11	0
alaT	NC_000913.3:4037259-4037335	1	76	+	76	10	15	14	24	15	12	16	2	5	2	6	10	10	7	12	14	17	8	0
gltT	NC_000913.3:4168371-4168447	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thrU	NC_000913.3:4175387-4175463	1	76	+	76	288688	387600	581078	361192	479601	378229	182953	140714	159957	107284	124198	118712	291164	295874	337275	380789	419521	300712	24
tyrU	NC_000913.3:4175471-4175556	1	85	+	85	3487	6125	5893	6215	6172	8193	7129	4939	5008	3853	5617	5468	7200	8778	8478	8497	10066	11931	0
glyT	NC_000913.3:4175672-4175747	1	75	+	75	22219	34127	38908	33742	39359	34134	37403	24445	30430	24078	26804	31129	29083	36918	38105	44689	47656	47840	8
thrT	NC_000913.3:4175753-4175829	1	76	+	76	8100	15696	12887	15196	13037	17519	14114	9807	10448	7633	9515	12186	10824	14710	14048	14952	19146	15829	0
gltV	NC_000913.3:4209773-4209849	1	76	+	76	0	0	1	0	2	4	2	3	2	0	0	1	0	1	1	1	1	0	0
pheU	NC_000913.3:4362550-4362626	1	76	-	76	53	125	84	164	109	148	107	52	67	55	69	55	73	79	117	86	206	132	0
glyV	NC_000913.3:4392359-4392435	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyX	NC_000913.3:4392471-4392547	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyY	NC_000913.3:4392582-4392658	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuX	NC_000913.3:4496404-4496489	1	85	+	85	8454	19949	12661	22303	17305	24503	18456	8006	11410	7074	12736	14335	13894	20198	24423	17392	31753	28041	2
leuV	NC_000913.3:4606078-4606165	1	87	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuP	NC_000913.3:4606199-4606286	1	87	-	87	1815	1874	2395	1688	1830	1227	3775	2285	2265	1453	2550	2402	2522	4353	4434	5116	4084	4332	0
leuQ	NC_000913.3:4606314-4606401	1	87	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
