# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "tRNA" "-g" "gene" "-a" "../data/reference_sequences/oligos_cds_new.gff" "-o" "../data/rna_align/counttable_tRNAs_new.txt" "../data/rna_align/01_no_PNA.bam" "../data/rna_align/02_PNA15_5000pM.bam" "../data/rna_align/03_PNA15_500pM.bam" "../data/rna_align/04_PNA15_100pM.bam" "../data/rna_align/05_PNA15_10pM.bam" "../data/rna_align/06_PNA14_5000pM.bam" "../data/rna_align/07_no_PNA.bam" "../data/rna_align/08_PNA15_5000pM.bam" "../data/rna_align/09_PNA15_500pM.bam" "../data/rna_align/10_PNA15_100pM.bam" "../data/rna_align/11_PNA15_10pM.bam" "../data/rna_align/12_PNA14_5000pM.bam" "../data/rna_align/13_no_PNA.bam" "../data/rna_align/14_PNA15_5000pM.bam" "../data/rna_align/15_PNA15_500pM.bam" "../data/rna_align/16_PNA15_100pM.bam" "../data/rna_align/17_PNA15_10pM.bam" "../data/rna_align/18_PNA14_5000pM.bam" "../data/rna_align/73_RNA_input_control.bam" "../data/rna_align/74_PNA15_16nM.bam" "../data/rna_align/75_PNA15_63nM.bam" "../data/rna_align/76_PNA15_250nM.bam" "../data/rna_align/77_PNA15_1000nM.bam" "../data/rna_align/78_PNA14_1000nM.bam" "../data/rna_align/79_no_PNA.bam" "../data/rna_align/80_PNA15_16nM.bam" "../data/rna_align/81_PNA15_63nM.bam" "../data/rna_align/82_PNA15_250nM.bam" "../data/rna_align/83_PNA15_1000nM.bam" "../data/rna_align/84_PNA14_1000nM.bam" "../data/rna_align/85_no_PNA.bam" "../data/rna_align/86_PNA15_16nM.bam" "../data/rna_align/87_PNA15_63nM.bam" "../data/rna_align/88_PNA15_250nM.bam" "../data/rna_align/89_PNA15_1000nM.bam" "../data/rna_align/90_PNA14_1000nM.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/rna_align/01_no_PNA.bam	../data/rna_align/02_PNA15_5000pM.bam	../data/rna_align/03_PNA15_500pM.bam	../data/rna_align/04_PNA15_100pM.bam	../data/rna_align/05_PNA15_10pM.bam	../data/rna_align/06_PNA14_5000pM.bam	../data/rna_align/07_no_PNA.bam	../data/rna_align/08_PNA15_5000pM.bam	../data/rna_align/09_PNA15_500pM.bam	../data/rna_align/10_PNA15_100pM.bam	../data/rna_align/11_PNA15_10pM.bam	../data/rna_align/12_PNA14_5000pM.bam	../data/rna_align/13_no_PNA.bam	../data/rna_align/14_PNA15_5000pM.bam	../data/rna_align/15_PNA15_500pM.bam	../data/rna_align/16_PNA15_100pM.bam	../data/rna_align/17_PNA15_10pM.bam	../data/rna_align/18_PNA14_5000pM.bam	../data/rna_align/73_RNA_input_control.bam	../data/rna_align/74_PNA15_16nM.bam	../data/rna_align/75_PNA15_63nM.bam	../data/rna_align/76_PNA15_250nM.bam	../data/rna_align/77_PNA15_1000nM.bam	../data/rna_align/78_PNA14_1000nM.bam	../data/rna_align/79_no_PNA.bam	../data/rna_align/80_PNA15_16nM.bam	../data/rna_align/81_PNA15_63nM.bam	../data/rna_align/82_PNA15_250nM.bam	../data/rna_align/83_PNA15_1000nM.bam	../data/rna_align/84_PNA14_1000nM.bam	../data/rna_align/85_no_PNA.bam	../data/rna_align/86_PNA15_16nM.bam	../data/rna_align/87_PNA15_63nM.bam	../data/rna_align/88_PNA15_250nM.bam	../data/rna_align/89_PNA15_1000nM.bam	../data/rna_align/90_PNA14_1000nM.bam
valT	NC_000913.3:780764-780840	1	76	+	76	2	4	7	0	5	2	2	1	2	2	2	0	1	1	0	2	3	4	0	2	0	2	1	3	1	0	2	0	3	0	0	0	0	2	0	0
lysW	NC_000913.3:780842-780918	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valZ	NC_000913.3:781067-781143	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysY	NC_000913.3:781146-781222	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysZ	NC_000913.3:781368-781444	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysQ	NC_000913.3:781576-781652	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serW	NC_000913.3:925883-925971	1	88	-	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serT	NC_000913.3:1031624-1031712	1	88	-	88	29893	44643	47981	48076	53018	53247	38306	27948	32430	27104	32204	39030	44136	48070	47884	60928	66715	79610	6	41626	40009	38622	46319	50713	59579	57681	48690	23920	25134	46975	37910	36333	50206	58902	44868	58444
serX	NC_000913.3:1097564-1097652	1	88	-	88	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
tyrV	NC_000913.3:1287243-1287328	1	85	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tyrT	NC_000913.3:1287537-1287622	1	85	-	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valV	NC_000913.3:1746434-1746511	1	77	+	77	4466	5331	5631	5213	5658	5858	5508	3458	4036	3068	3610	4129	4062	4952	5817	6613	7067	7368	0	4168	3989	3557	3917	4701	5659	5149	4061	1651	3216	4255	4379	3973	5089	5104	4383	5271
valW	NC_000913.3:1746515-1746592	1	77	+	77	5432	7263	7127	6519	6689	7129	7220	4810	5260	3924	4492	4759	5340	6442	6926	8276	9031	8515	4	8070	6909	6107	7296	8430	8376	9138	7007	3140	5711	9082	6812	6809	8841	9020	7386	8304
leuZ	NC_000913.3:1991814-1991901	1	87	-	87	89320	187654	147476	192334	172664	241087	219460	124664	200097	111988	135124	182356	214760	285731	306967	242283	280801	245921	14	233106	192522	160158	172100	197179	221630	246946	168561	103634	127374	133312	141053	161288	174304	186509	160667	210741
cysT	NC_000913.3:1991913-1991987	1	74	-	74	8050	15117	11511	15469	13023	14244	18520	8213	12695	7460	10652	10679	13002	19924	24985	18946	28708	19676	2	11074	9098	9439	10505	10734	15957	14607	11044	5501	10296	9909	11196	10866	11167	11236	10454	12134
glyW	NC_000913.3:1992041-1992117	1	76	-	76	529	904	981	837	1059	993	538	307	399	260	345	390	486	668	668	841	1096	942	0	240	194	176	216	210	258	320	210	87	129	185	117	128	183	183	221	225
serU	NC_000913.3:2043467-2043557	1	90	-	90	6224	8072	9975	7321	8596	7491	6429	5105	4728	4162	4811	5602	6638	7466	6787	10251	9734	10963	1	6515	5172	4601	5906	6206	6763	8086	7157	3431	4131	6735	5420	5113	6253	7843	6010	7313
asnT	NC_000913.3:2044548-2044624	1	76	+	76	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
asnW	NC_000913.3:2058026-2058102	1	76	-	76	418	685	780	716	744	798	543	463	471	452	448	520	612	608	667	763	842	944	0	194	171	121	130	163	168	204	153	74	118	135	95	92	135	141	97	160
asnU	NC_000913.3:2059850-2059926	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
asnV	NC_000913.3:2062259-2062335	1	76	+	76	1	0	0	1	0	1	0	1	1	0	0	0	1	0	1	2	2	1	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0
proL	NC_000913.3:2286210-2286287	1	77	+	77	12055	16143	14549	14519	14603	16644	13993	8287	10022	7091	8790	8863	10236	13118	14495	16385	20009	19361	1	13604	9509	9092	10563	12823	15997	15900	11966	5178	10006	11988	13972	10303	13159	13435	12947	13444
argW	NC_000913.3:2466308-2466383	1	75	+	75	5818	7194	10304	6575	8315	7093	5935	5257	5282	5081	5055	5256	7974	6928	6562	9425	9764	12198	3	7262	4863	4571	5543	6235	5585	7693	7676	3649	3966	6369	4881	4472	6039	7312	5604	6971
pawZ	NC_000913.3:2476583-2476598	1	15	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alaX	NC_000913.3:2518040-2518116	1	76	-	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
alaW	NC_000913.3:2518155-2518231	1	76	-	76	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valU	NC_000913.3:2520930-2521006	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valX	NC_000913.3:2521050-2521126	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
valY	NC_000913.3:2521172-2521248	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysV	NC_000913.3:2521252-2521328	1	76	+	76	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gltW	NC_000913.3:2729368-2729444	1	76	-	76	1	1	2	1	4	1	4	7	0	3	3	3	3	1	5	5	4	5	0	0	1	0	0	1	2	1	2	0	1	1	2	0	2	0	0	0
ileY	NC_000913.3:2785761-2785837	1	76	-	76	1039	2831	1669	3219	2200	3286	2051	937	1571	879	1355	1403	1392	1820	2727	2216	3866	3477	0	2871	2029	1544	1667	2091	3078	2872	2144	1060	1419	1987	2208	1855	2459	2819	1724	2973
argQ	NC_000913.3:2817783-2817860	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argZ	NC_000913.3:2818058-2818135	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argY	NC_000913.3:2818197-2818274	1	77	-	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
argV	NC_000913.3:2818472-2818549	1	77	-	77	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
serV	NC_000913.3:2818552-2818645	1	93	-	93	34039	46793	45900	45986	47335	63101	47419	32725	36762	24727	31523	39002	44247	50918	56100	57994	59829	62163	6	44794	44868	29371	35512	39527	47590	41887	31789	16518	31888	40039	39204	36917	43106	41982	37964	41561
metZ	NC_000913.3:2947386-2947463	1	77	+	77	5	7	3	6	4	8	4	2	8	3	1	3	5	6	1	7	11	10	0	4	2	1	5	4	5	2	1	4	3	1	1	2	5	7	4	6
metW	NC_000913.3:2947496-2947573	1	77	+	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
metV	NC_000913.3:2947606-2947683	1	77	+	77	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyU	NC_000913.3:2998983-2999057	1	74	-	74	21292	31219	34347	30390	36392	32001	30442	21874	24795	21014	23190	26720	26146	29545	31705	37828	37377	39813	5	29941	27184	24960	29702	33305	31674	34399	27757	15422	19419	29386	23792	29188	31300	38269	33061	36215
pheV	NC_000913.3:3110365-3110441	1	76	+	76	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1
ileX	NC_000913.3:3215597-3215673	1	76	+	76	178	350	208	390	238	276	254	139	192	95	159	126	145	205	313	315	373	330	0	332	285	201	231	301	314	375	300	169	237	290	245	223	270	315	209	287
metY	NC_000913.3:3318212-3318289	1	77	-	77	117	104	108	87	106	89	134	72	91	63	127	87	114	127	118	147	120	124	0	64	48	45	58	61	65	82	61	50	54	65	42	59	64	56	48	67
leuU	NC_000913.3:3322071-3322158	1	87	-	87	53227	97071	85621	94564	91497	95636	81719	51035	65490	48646	54665	60836	75849	89342	98115	104508	133149	114524	19	91581	66686	53980	61886	71930	84417	102376	77029	34761	49139	64501	60099	59948	75017	76603	70299	85464
thrV	NC_000913.3:3423579-3423655	1	76	-	76	8081	18842	13032	20061	14646	21314	16468	9239	12127	7892	11108	12211	12817	16964	18330	15982	26271	20392	1	22700	20074	13261	15238	18062	21023	22874	20422	8719	14216	22954	17856	15489	22030	21713	15523	22123
alaU	NC_000913.3:3426957-3427033	1	76	-	76	62	86	128	67	122	57	64	44	45	29	44	33	46	43	36	64	55	57	0	19	8	8	13	9	19	9	13	6	10	5	13	9	9	14	10	15
ileU	NC_000913.3:3427075-3427152	1	77	-	77	2	4	2	1	2	0	2	1	0	0	2	3	3	5	6	2	6	3	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1
proK	NC_000913.3:3708615-3708692	1	77	-	77	25763	32540	33505	31469	30123	28554	33048	17891	23316	17336	24852	21866	24790	28621	32302	35000	44657	38300	0	21925	17829	22533	25230	25195	31495	31826	27902	13976	20157	24668	20903	22574	26026	30980	29153	31125
selC	NC_000913.3:3836221-3836316	1	95	+	95	3356	4454	3774	4862	5085	4676	4745	2601	3180	2559	3423	3734	3793	4773	5086	5762	6965	8275	0	3477	2568	2766	3317	3603	5675	5101	4024	2111	2840	3518	3439	3289	4714	3750	4409	4461
gltU	NC_000913.3:3943434-3943510	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aspT	NC_000913.3:3946871-3946948	1	77	+	77	341	512	541	443	484	387	563	311	394	290	318	404	437	476	531	643	673	591	0	112	84	85	74	92	120	113	108	49	66	75	71	64	71	96	78	82
trpT	NC_000913.3:3946956-3947032	1	76	+	76	20253	27794	21554	23686	22756	21422	19858	11288	12998	9035	13366	13942	13392	17574	17696	21864	30051	24768	7	22694	14821	12942	16895	17019	18058	24536	19770	7702	13045	16891	16773	15188	17666	20950	17872	21440
argX	NC_000913.3:3982374-3982451	1	77	+	77	4426	7679	7292	6512	6770	7109	6851	5544	5992	4382	5213	4954	6281	6916	6754	7905	9649	9428	3	10717	7930	5822	6539	8447	7628	9583	8177	4258	5573	9806	4546	5885	7703	8190	5815	7041
hisR	NC_000913.3:3982508-3982585	1	77	+	77	58615	82561	88125	77320	74855	73698	73182	49550	56881	46203	48079	53214	53140	61062	64120	82493	93381	76194	7	76520	54341	46015	54229	58546	64637	72710	58708	25626	44045	60572	54862	53846	68914	72171	61750	67913
leuT	NC_000913.3:3982605-3982692	1	87	+	87	13	11	17	9	20	12	13	5	13	9	13	9	10	14	19	27	24	27	0	8	5	5	6	5	7	6	7	0	5	9	1	2	8	7	2	2
proM	NC_000913.3:3982734-3982811	1	77	+	77	152403	151107	230839	135877	185534	140299	150157	149393	132224	142898	127269	144189	172813	163876	144530	242820	178973	217241	16	183609	166701	135008	182300	198010	151275	208513	203271	97030	128434	186073	127697	140832	181645	226563	178832	199795
ileT	NC_000913.3:4037140-4037217	1	77	+	77	6	7	4	1	14	8	3	6	2	4	4	4	4	5	4	7	4	11	0	2	5	4	3	4	1	3	3	3	1	4	2	2	1	1	3	1
alaT	NC_000913.3:4037259-4037335	1	76	+	76	10	15	14	24	15	12	16	2	5	2	6	10	10	7	12	14	17	8	0	3	2	2	2	6	4	3	6	1	2	2	1	2	2	2	3	4
gltT	NC_000913.3:4168371-4168447	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thrU	NC_000913.3:4175387-4175463	1	76	+	76	288688	387600	581078	361192	479601	378229	182953	140714	159957	107284	124198	118712	291164	295874	337275	380789	419521	300712	24	166493	114705	115721	108768	131259	210593	214294	178430	96882	144198	171210	150294	179581	194109	207616	249534	227485
tyrU	NC_000913.3:4175471-4175556	1	85	+	85	3487	6125	5893	6215	6172	8193	7129	4939	5008	3853	5617	5468	7200	8778	8478	8497	10066	11931	0	6524	5500	4038	4140	5203	7780	7067	4778	2192	4248	5351	4595	5554	6769	5184	5110	5755
glyT	NC_000913.3:4175672-4175747	1	75	+	75	22219	34127	38908	33742	39359	34134	37403	24445	30430	24078	26804	31129	29083	36918	38105	44689	47656	47840	8	38950	30740	29129	32354	36426	33791	40767	35806	16739	24894	33155	23782	28530	33414	38361	34106	34648
thrT	NC_000913.3:4175753-4175829	1	76	+	76	8100	15696	12887	15196	13037	17519	14114	9807	10448	7633	9515	12186	10824	14710	14048	14952	19146	15829	0	29681	26906	12079	14883	17081	15919	20283	17639	8401	14371	21914	15041	13528	19128	18061	13017	16286
gltV	NC_000913.3:4209773-4209849	1	76	+	76	0	0	1	0	2	4	2	3	2	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0
pheU	NC_000913.3:4362550-4362626	1	76	-	76	53	125	84	164	109	148	107	52	67	55	69	55	73	79	117	86	206	132	0	34	42	23	34	43	56	52	42	10	19	51	35	23	41	30	24	43
glyV	NC_000913.3:4392359-4392435	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyX	NC_000913.3:4392471-4392547	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyY	NC_000913.3:4392582-4392658	1	76	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuX	NC_000913.3:4496404-4496489	1	85	+	85	8454	19949	12661	22303	17305	24503	18456	8006	11410	7074	12736	14335	13894	20198	24423	17392	31753	28041	2	23144	18537	15228	15684	15491	26651	24716	17996	8921	18121	14119	22633	17768	20536	20237	21026	23011
leuV	NC_000913.3:4606078-4606165	1	87	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
leuP	NC_000913.3:4606199-4606286	1	87	-	87	1815	1874	2395	1688	1830	1227	3775	2285	2265	1453	2550	2402	2522	4353	4434	5116	4084	4332	0	1411	761	916	1109	899	1754	1926	1721	753	1461	1008	738	945	859	1005	780	652
leuQ	NC_000913.3:4606314-4606401	1	87	-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
